id,groupId,variantId,name,brand,category,description,tags,size,flavor,price,compareAt,inStock,image1,image2,image3,image4
p-crea-250,p-crea-01,v-crea-250,Creatina Monohidratada Micronizada,MUÑEK LABS,Creatina,"Pura, sin rellenos. Fuerza, potencia y mejor rendimiento en series pesadas.","monohidratada, micronizada, fuerza, volumen",250 g,Sin sabor,349,399,si,https://drive.google.com/file/d/1R9f7OLS0QKKZnPL_OnY9lddDIfmJdunB/view?usp=drive_link,,,
p-crea-500,p-crea-01,v-crea-500,Creatina Monohidratada Micronizada,MUÑEK LABS,Creatina,"Pura, sin rellenos. Fuerza, potencia y mejor rendimiento en series pesadas.","monohidratada, micronizada, fuerza, volumen",500 g,Sin sabor,549,649,si,https://drive.google.com/file/d/1e_w3k3SLD0jHjEzhU0-yC8bxdxQsLxXn/view?usp=drive_link,,,
p-crea-1k,p-crea-01,v-crea-1k,Creatina Monohidratada Micronizada,MUÑEK LABS,Creatina,"Pura, sin rellenos. Fuerza, potencia y mejor rendimiento en series pesadas.","monohidratada, micronizada, fuerza, volumen",1 kg,Sin sabor,899,999,si,,,,
p-whey-1lb-van,p-whey-01,v-whey-1lb-van,Whey Protein Isolate 90,MUÑEK LABS,Proteína,"Alta proteína por porción, textura limpia y sabores discretos, sin empalagar.","whey, isolate, proteína, recuperación",1 lb,Vainilla,699,,si,,,,
p-whey-2lb-choc,p-whey-01,v-whey-2lb-choc,Whey Protein Isolate 90,MUÑEK LABS,Proteína,"Alta proteína por porción, textura limpia y sabores discretos, sin empalagar.","whey, isolate, proteína, recuperación",2 lb,Chocolate,999,1099,si,,,,
p-whey-5lb-fresa,p-whey-01,v-whey-5lb-fresa,Whey Protein Isolate 90,MUÑEK LABS,Proteína,"Alta proteína por porción, textura limpia y sabores discretos, sin empalagar.","whey, isolate, proteína, recuperación",5 lb,Fresa,1999,2199,si,,,,
p-pre-20-serv,p-pre-01,v-pre-20-serv,Pre-Entreno Clean Focus,MUÑEK LABS,Pre-entreno,"Energía y enfoque con sensación limpia. Ideal para sesiones intensas.","preworkout, energía, pump, focus",20 servicios,Sandía,499,,si,,,,
p-pre-30-serv,p-pre-01,v-pre-30-serv,Pre-Entreno Clean Focus,MUÑEK LABS,Pre-entreno,"Energía y enfoque con sensación limpia. Ideal para sesiones intensas.","preworkout, energía, pump, focus",30 servicios,Mango,649,,si,,,,
p-pre-30-serv-u,p-pre-01,v-pre-30-serv-u,Pre-Entreno Clean Focus,MUÑEK LABS,Pre-entreno,"Energía y enfoque con sensación limpia. Ideal para sesiones intensas.","preworkout, energía, pump, focus",30 servicios,Sin sabor,629,,no,,,,
p-bcaa-30-limon,p-bcaa-01,v-bcaa-30,BCAA 2:1:1 + Electrolitos,MUÑEK LABS,Aminoácidos,"Hidratación y aminoácidos para sesiones largas. Sabor ligero, cero pesadez.","bcaa, electrolitos, hidratación",30 servicios,Limón,449,,si,,,,
p-bcaa-30-frutos,p-bcaa-01,v-bcaa-30-frutos,BCAA 2:1:1 + Electrolitos,MUÑEK LABS,Aminoácidos,"Hidratación y aminoácidos para sesiones largas. Sabor ligero, cero pesadez.","bcaa, electrolitos, hidratación",30 servicios,Frutos rojos,449,,si,,,,
p-mass-3lb,p-mass-01,v-mass-3lb,Mass Gainer Balance,MUÑEK LABS,Ganador,"Calorías limpias para subir de peso con control. Ideal en volumen.","gainer, volumen, calorías",3 lb,Vainilla,899,,si,,,,
p-mass-6lb,p-mass-01,v-mass-6lb,Mass Gainer Balance,MUÑEK LABS,Ganador,"Calorías limpias para subir de peso con control. Ideal en volumen.","gainer, volumen, calorías",6 lb,Chocolate,1499,1699,si,,,,
